"value_labels","example_label","waves_present","n_waves","n_questions","variables"
"Don't understand the question | Unclassifiable | No substance in answer | Don't know | No Response | Interpreting democracy in generic (populist) terms | Popular sovereignty | Government of the people | Government by the People | People as their own master | Power of the people | Government for the People | Putting people's interest first | Care for people | Responsive to people's need | Governing in the interest of general welfare | Absence of non-democratic arrangements | No dictator | No repression | Interpreting a democracy in terms of some key elements of li | Limited Government | Freedom and civil liberty | Freedom in general | Freedom of speech/press/expression | Freedom of association | Political liberty | Protection of individual/human rights | Freedom from government repression | Freedom of participation | Freedom of belief (and religion) | Freedom of individual choice | Freedom of information | Political Equality | One man one vote | Equality before the law/justice | Non discrimination | Democratic Institutions and Process | Election, popular vote or electoral choice | Electing leaders with integrity and capacity | Parliament | Separation of power or check-and-balance | Competitive party system | Power rotation | Rule of law | Independent judicial | Majority rule | Respect for minority rights | Political accountability | Participation and Citizen Empowerment | Ability to select or change government | Voting | Direct participation | Demonstration | Voice one's concern | Plebiscite (referendum) | Social Pluralism and Civil Society | Open society | Pluralist society | Responsible media | Interpreting democracy in terms of social and economic syste | Free Economy | Free market | Private properties/ownership | Free and fair competition | Personal economic opportunities | No central planning | Low tax | Privatization | Small government | Equality, Justice or Fraternity | Social equality | Social justice | Fraternity | Equality of opportunities | Social rights or social entitlements | Welfare state | Socialism | Worker participation | Gender equality | Socio-Economic Performance | Solve unemployment | Find anyone a job | Providing social welfare (or social safety net) | Taking good care of the weak | Taking care of people's economic well-being | Provision of happy and prosperous life | Improvement of people's welfare | Stable economy (economic stability) | Small income gap (small gap between the rich and the poor) | Economic development | Interpreting democracy in terms of good government | Good Governance | Honest government | Responsible (or rational) government | Openness or transparent government | Responsive government (listening to people, respecting publi | Fair treatment | Efficiency or can-do (can deliver) | No waste | No corruption | Law-biding government (rule by law) | Social stability | Law and order | Reform in General | Political reform | Economic reform | Leadership | Public-spirited (selfish-less) leaders | Visionary (long-term oriented) leaders | Ability to make necessary (and sometimes unpopular) decision | Political elite should decide for the mass | Government leaders should lead the people | More younger leaders to replace the old faces | Development of elite | Competent leadership | Policy making with public opionion | Good paternalistic government | Policy making by hearing people's opionion | Interpreting democracy in term of individual behaviors | Democratic Style | Communication | Compromise | Rational | Tolerance | Taking into account all parties concerned | Freedom within legal limits | Respect for others' rights | No extremism | Follow principles | Duties | Citizen duties | Action within the limits of law | Law-binding | Individualism | Respect for individual privacy | Independence | Self-reliance | Having one's own views | Self-responsibility | Responsibility for one's own action/decision | Fight for one's own interests | Self dignity (self-esteem) | Trust | Interpreting democracy in other broad and abstract terms | Political System | Governmental institution | Decentralization (local self-government) | Nationalism and Statism | Better country | Wealthy state | National independence | Individual less important than nation | Putting national interest above partisan interests | National Security | Stable and Cohesive Society | Good society | Patriotism | Solidarity | Harmony | No chaos, anarchy or disorder | Collective (group) interest is more important than individua | Other Lofty Elements | World peace | The commonwealth of the world | Ethnicity | Political indiginization (the native rule) | Ethnic cleavage (or tension) | Democratic Centralism | Conditions or Prerequisites for Democracy | Gradualism | Incremental | It takes time | No radicalism | Prerequisites | Democratic aptitude of citizens | Citizen's sophistication | Economic condition | Level of education | Fit our country's own conditions | Evaluation of Democracy or Democratic Regime | Positive Appraisal of Democracy in General | The best or the better | Progressive | Universal acceptance | Global trend | Negative Appraisal of Democracy in General | Corrupt | Inefficient | Unstable, chaotic, anarchy | Conflict | Lead to injustice | Obstruct economic development | Place too much on individual interests | The worst system | Does not exist | We cannot have democracy | Government ignore people’s need | Manipulation by politicians | Loss of freedom | Serve government's interest | The rich and the powerful dominate | Too much Freedom | Poverty is growing | Positive Appraisal of One's Own Country's Democracy | Negative Appraisal of One's Own Country's Democracy | Reference or Cognitive Association | Country reference | Like United States, United Kingdom, Japan, etc. | Not like North Korea, etc | Political figures (e.g., Sun Yet-sun, Lee Teng-hui, Abraham | Political parties or groups (e.g., DPP, KMT, etc) | Other associations (state, politics, society)","To you, what does ""democracy"" mean?  What else?","W2",1,3,"W2:q91_1 | W2:q91_2 | W2:q91_3"
"Missing | (Women) within this Paradigm but no clear answer | Economy, economic growth, economic development | Lack of jobs, unemployment, the need to create new jobs | Skill training | Lack of Industry, industrialization | Price rise, high fuel prices | Economic inequality, increasing gap between rich and poor | Wages/salaries/pensions/income related | Poverty, neglect of poor | Hunger, starvation, Lack of food and Nutrition | GST | Demonetization | Development/vikaas(generally) | Lacks of development | Good governance/good delivery of services | Poor governance/poor delivery of services | Condition of roads/highways | Transport services - buses, trains, flights | Condition of hospitals/health facilities/healthcare/doctors | Condition of schools or colleges/education/educational facilities/fees | Electricity-related problem | Water-related problem | Condition of drains/sewerage problem | Good performance of the government | Poor performance by the government | Vote for change, change of government | Vote for stability, bringing back the government | Vote for Modi or BJP, bringing Modi or BJP back | Vote against Modi or BJP, throwing Modi or BJP out | Vote for Rahul Gandhi/Priyanka Gandhi/Sonia Gandhi/Congress leader/Congress | Vote against Rahul Gandhi/Priyanka Gandhi/Sonia Gandhi/Congress leader/Congress | Vote in favour of any other party or leader | Vote against any other party or leader | Vote against a coalition government | Vote for a coalition government | Vote for a candidate/any particular candidate | Corruption (generally) | Corrupt politicians | Corruption of government officers | Scams (generally) | Rafale aircraft scam | PNB/Nirav Modi Scam | Robert Vadra property issue | Agusta Westland issue | Farmer or farming problems (generally) | Low price for crops, produce/MSP / payment not on time | Lack of irrigation facilities | Rural distress/agricultural crisis | Debt due to agriculture/loan waiver | Stray cattle issue/cows eating the crop | Other agricultural problems | Any welfare scheme of the Central government (Ujjwala, Jan Arogya) | Any welfare scheme of the State government | MNREGA | Government subsidies | Money from government in bank account | Housing/shelter | Religious identity/protection of my religion | Caste identity/protection of my caste | Regional/state/linguistic identity/protecting regional culture | Hindutva | Cow protection/cow slaughter issue | Mob lynchings | Casteism | Communalism, secularism | Appeasement of Muslims | Neglect of Muslims | Ayodhya issue/Ram Mandir-Babri masjid | SCST Act issue | Pakistan related/surgical strike/cross-border terror/Pulwama attack | Terrorism | Naxalism/Maoism | Nationalism/patriotism | Reservation/demand for reservation | 10% quota for EWS announced by the government | Citizenship Bill | Article 370/Kashmir issue | Religious conversion | Population Control | Environmental degradation/protection of environment | Climate Change | Pollution/Air Quality | Wildlife protection | Women's safety/rape/sexual harassment/crimes against women | Discrimination against women | Foreign policy | Threat from China | Improving India's image in the world | Natural calamities - floods, drought | National Security | (Development) within this Paradigm but no clear answer | (Government performance) within this Paradigm but no clear answer | (Political) within this Paradigm but no clear answer | (Agriculture) within this Paradigm but no clear answer | (Welfare) within this Paradigm but no clear answer | (Identity and emotive issues) within this Paradigm but no clear answer | (Environment) within this Paradigm but no clear answer | Any other issue not mentioned above | No response | N.A. | (Economy)Within this Paradigm but no clear answer","106c:(India only) In your opinion, what are the most important problems facing this country that government should address? (1st response)","W5",1,3,"W5:Q106c | W5:Q106d | W5:Q106e"
"Missing | A great deal of Trust | Quite a lot of Trust | Not very much Trust | None at all | Do not understand | Can't choose | Decline to answer","q25. How much trust do you have in each of the following types of people?   Your relatives","W3",1,3,"W3:q25 | W3:q26 | W3:q27"
"Missing | A great deal of trust | Quite a lot of trust | Not very much trust | None at all | Do not understand the question | Can't choose | Decline to answer","26. How much do you trust your relatives?","W4",1,3,"W4:q26 | W4:q27 | W4:q28"
"Missing | Always | Most of the time | Sometimes | Rarely | Never | Do not understand the question | Can't choose | Decline to answer","117 How often do government officials withhold important information from the public?","W5",1,3,"W5:q117 | W5:q118 | W5:q119"
"Missing | Not applicable | Have done this more than three times | Have done this two or three times | Have done this once | Have not done this, but might do it if something important h | Have not done this and would not do it regardless of the sit | Do not understand the question | Can't choose | Decline to answer","69  Contacted civil servants or officials","W6",1,3,"W6:q69 | W6:q70 | W6:q71"
"Missing | Not applicable | Much better | A little better | About the same | A little worse | Much worse | Do not understand the question | Can't choose | Decline to answer","2 How would you describe the change in the economic condition of our country over the last few years?","W6",1,3,"W6:q2 | W6:q3 | W6:q6"
"Missing | Not applicable | Political parties | Residential & community associations | Religious groups | Sports/recreational clubs | Culture organizations | Charities | Public interest groups | Labor unions | Farmer unions or agricultural associations | Professional organizations | Business associations | Parent-Teacher associations | Producer cooperatives | Consumer cooperatives | Alumni associations | Candidate support organizations | Other occupational organizations | Other volunteer organizations | Student Associations | Mutual assistance associations | Other | Not a member of any organization or group | Do not understand the question | Can't choose | Decline to answer","20. Name of the organization you belong to. First","W4",1,3,"W4:q20 | W4:q21 | W4:q22"
"Missing | Not applicable | Trust fully | Trust a lot | Trust somewhat | Distrust somewhat | Distrust a lot | Distrust fully | Do not understand the question | Can't choose | Decline to answer","53 How much trust do you have in each of the following types of media?Television","W5",1,3,"W5:q53 | W5:q54 | W5:q55"
"Missing | Not applicable | Yes | No | Can't choose | Decline to answer","q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?","W3",1,3,"W3:q34 | W3:q35 | W3:q36"
"Missing | Not applicable | Yes | No | Can't choose | Do not know","127a_1 Did you personally witness it or were you told about it by a family member or friend who personally witnessed? personally witnessed","W5",1,3,"W5:q127a_1 | W5:q127a_2 | W5:q127a_3"
"Missing | Not applicable | Yes | No | Do not understand the question | Can't choose | Decline to answer | Can't remember | Not yet eligible to vote","35 Did you attend a campaign meeting or rally in the last national election?","W6",1,3,"W6:q35 | W6:q36 | W6:q37"
"Missing | Not applicable | Yes | No | N/o one I know has personally witnessed | Do not understand | Can't choose | Decline to answer","119_1 Personally witnessed","W3",1,3,"W3:q119_1 | W3:q119_2 | W3:q119_3"
"Much worse | A little worse | About the same | A little better | Much better | Can't choose | Decline to answer","How would you describe the change in the economic condition of our country over the last years?","W2",1,3,"W2:q2 | W2:q3 | W2:q6"
"No answer | Economics | Management of the economy, economic development | Wages, incomes and salaries (or income gap) , pension | Unemployment | Poverty and destitution | Rates and taxes | Loans, credit, debt | Land privatization | Inflation | International Trade, globalization | Basic necessities (price of rice, fuel, spicy. etc) | Food / Agriculture / Environment | Farming/ agriculture/ fishing/ Animal husbandry | Food shortage/famine | Natural disaster (drought, flood, earthquake, hurricane, etc | Land | Environment | Natural resources | Infrastructure | Transportation | Communications | Infrastructure / roads | Government Services | Education, educational fee | Science and technology | Housing | Electricity | Water supply | Orphans/street children/homeless children | Social security, social welfare | Services (other) | Health | Health (medical care) | AIDS (and other transmissible diseases) | Sickness / Disease | Public health, hygiene | Food and drug safety | Governance | Crime and Security | Corruption | Political violence | Political instability/political divisions/ ethnic tensions | Discrimination/ inequality | Gender issues/women's rights, children's rights | Democracy/political rights, protection of rights | Malfunction of political institutions | Government efficiency | Constitution | Budget deficit | Judiciary | Administrative procedure | Public service independence from politics | Irresponsible leader/government | General Social and Political Conditions | Immigration | Social anomaly (suicide, divorce, moral breakdown) | Aging population, fewer children | Growth of population | Cultural problems under social change | Religion problem | Culture preservation | War (international) | Civil war | External relations (foreign relations) | Terrorism | National defense | Country-Specific Problems | Nothing/ no problems | No further reply | Other issues | Unclassifiable, inconceivable | Can't choose | Decline to answer","In your opinion, what are the most important questions facing the country that government should address?","W2",1,3,"W2:q100 | W2:q101 | W2:q102"
"Not applicable | Yes | No | Do not understand | Can't choose | Decline to answer","119_1 Personally witnessed","W2",1,3,"W2:q119_1 | W2:q119_2 | W2:q119_3"
"Once | More than once | Never | Can't choose | Decline to answer","Contacted representative of non-government/civil society organizations","W2",1,3,"W2:q83 | W2:q84 | W2:q89"
"Political parties | Residential & community associations | Religious groups | Sports/recreational clubs | Culture organizations | Charities | Public interest groups (exc.) | Labor unions | Farmer unions or agricultural associations | Professional organizations | Business association | Parent-Teacher Association or PTA | Producer cooperative | Consumer cooperative | Alumni association | Candidate support organization | Other occupational organizations (etc.) | Other volunteer organizations | Hometown associations(others) | Clan associations(others) | Not a member of any organization or group | Not applicable | No more answer","First organization","W2",1,3,"W2:q20_1 | W2:q20_2 | W2:q20_3"
"Strongly approve | Approve | Disapprove | Strongly Disapprove | Do not understand the question | Can't choose | Decline to answer","We should get rid of parliament and elections and have a strong leader decide things","W2",1,3,"W2:q124 | W2:q125 | W2:q126"
"Almost everyone is corrupt | Most officials are corrupt | Not a lot of officials are corrupt | Hardly anyone is involved | Can't choose | Decline to answer","How widespread do you think corruption and bribe-taking are in your local/municipal government?","W2",1,2,"W2:q117 | W2:q118"
"Always | Most of the time | Sometimes | Rarely | Do not understand the question | Can't choose | Decline to answer","How often do national government officials abide by the law? (HK: Hong Kong government)","W2",1,2,"W2:q113 | W2:q114"
"Missing | 1 Highly negative | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 Highly positive | Don't understand the question | Can't choose | Decline to answer","176 The influence of the U.S. on world affairs today is negative or positive?","W5",1,2,"W5:q176 | W5:q178"
"Missing | China | Japan | India | United States | Other [please name] | Taiwan | Singapore | European Union | South Korea | China and Japan | China and India | Australia | Association of Southeast Asian Nations, ASEAN | North Korea | China and United States | Commonwealth of Independent States, CIS | US and Japan | Vietnam | Philippines | Canada | United Arab Emirates/Middle Eastern countries | Malaysia | Hong Kong | Thailand | Russia | Cambodia | Indonesia | New Zealand | Myanmar | Do not understand the question | Can't choose | Decline to answer","163 Which country has the most influence in Asia?","W4",1,2,"W4:q163 | W4:q166"
"Missing | China | Japan | India | United States | Russia | Other [please name] | Singapore | South Korea | Taiwan | China and United States | United Kingdom | Bangladesh | Brazil | Germany | Saudi Arabia | Turkey | Vietnam | Laos | North Korea | Brunei | Indonesia | Malaysia | Java | Myanmar | New Zealand | Australia | Every country is influential | Do not understand the question | Can't choose | Decline to answer","174 Which country has the most influence in Asia?","W5",1,2,"W5:q174 | W5:q179"
"Missing | Hardly anyone is involved | Not a lot of officials are corrupt | Most officials are corrupt | Almost everyone is corrupt | Can't choose | Decline to answer","q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?","W3",1,2,"W3:q116 | W3:q117"
"Missing | Management of the economy | Wages, incomes and salaries | Unemployment | Poverty/destitution | Rates and Taxes | Loans/credit | Farming/agriculture | Food shortage.famine | Drought | Land | Transportation | Communications | Infrastructure/roads | Education | Housing | Electricity | Water supply | Orphans/street children/homeless children | Services (other) | Health | AIDS | Sickness/disease | Crime and security | Corruption | Political violence | Political instablity/political divisions/ethnic tensions | Discrimination/inequality | Gender issues/women's rights | Democracy/political rights | War (international) | Civil war | Environment/pollution/protection | Government efficiency | Social problems general (divorce, gambiling, drugs) | Governance (leaders, unity, etc.) | Immigrants/foreign workers | Government policy, general | Inflation/price hike | Other | Restoration from the 3.11 earthquake | Measures taken against the nuclear and radiation accident and compensation for its damages | Issues concerning trade and economic agreements (TPP) | Territory Issues | Issues concerning the constitution | Issues concerning the Emperor and the Imperial family | Issues concerning the decline of birthrate and the increase of the aging population | Financial deficit | Environmental issues | National security (The right to collective self-defense / The peripheral situations around East Asia) | Issues concerning the relocation of U.S. military bases in Okinawa | Decentralization (e.g. Osaka Metropolis Plan) | Electoral reform (Reduction in Diet seats / Malapportionment) | Issues concerning pension and social security | Local Issues | Diplomacy for national security | Inter-Korea relations/North and South Korea relations | Freedom of the press | Generational conflicts | Conflict between employers and workers | Government welfare | Temporary employees | Good condition for doing business | Homosexuality | Human rights | Forest fire in Goseong area | Strong rule of law | Confidence | Job diversification | Restoration of the death penalty | Making a good country to live | Saving budget | Decrease in population/low birth rate | Reducing the nuclear power plant | Reduction the benefit for the civil servant | No problems | Do not understand the question | Can't choose | Decline to answer | Aging population | Animal welfare laws | Bicycle safety | Child abuse | Citizen's overdependence on the government | Citizen's welfare | Climate change | Community integration awareness | Continuous need for businesses to have a competitive advantage | Cost of healthcare | Covid-19 issues | CPF | Disability care | Disability inclusion | Elderly welfare | Ex-offenders aftercare | Financial transparency | Foreigners replacing locals in the workforce | Freedom of speech | Global competitiveness | Governmenet accountability | Government efficiency | Government's lack of communication | Immigration policy | Inflation | International relations | Investment transparency | Media transparency | National Solidarity | National resources | Neglected public opinion | Overwhelming foreign population | Population growth | Proper job matching | Religious freedom | Retiree's welfare | Retirement age | Rigid society | Road safety | Single mother welfare | Social graciousness | Social issues | Societal moral values | Standard of living | Town council management | Transparency in governance | Unequal distribution of wealth | Work life balance | Younger generation's welfare | Economy is dominated by other nations | Not focusing on citizens' welfare | Integrity | Not fighting for Islam and Malay | Language usage | Power abuse | Social problems in society | Poor ethics among civil servants | The power of the king | Foreign immigrants(PATI) | Society right | Poor administration | Drug abuse | Malay vigulse priviledges | Not fulfilling promise | Poor leadership quality | Racial issues | Media transparency | Uneven development and infrastructure | Religious humiliation | Policies and Laws | Environment issues | Minimum age of marriage | (Women) within this Paradigm but no clear answer | Economy, economic growth, economic development | Lack of jobs, unemployment, the need to create new jobs | Skill training | Lack of Industry, industrialization | Price rise, high fuel prices | Economic inequality, increasing gap between rich and poor | Wages/salaries/pensions/income related | Poverty, neglect of poor | Hunger, starvation, Lack of food and Nutrition | GST | Demonetization | Development (generally) | Lack of development | Good governance/good delivery of services | Poor governance/poor delivery of services | Condition of roads/highways | Transport services – buses, trains, flights | Condition of hospitals/health facilities/ healthcare/doctors | Condition of schools or colleges/education/ educational facilities/fees | Electricityrelated problem | Waterrelated problem | Condition of drains/sewerage problem | Good performance of the government | Poor performance by the government | Vote for change, change of government | Vote for stability, bringing back the government | Vote in favour of any other party or leader | Vote against any other party or leader | Vote against a coalition government | Vote for a coalition government | Vote for a candidate/any particular candidate | Corruption (generally) | Corrupt politicians | Corruption of government officers | Scams (generally) AGRICULTURE | Farmer or farming problems (generally) | Low price for crops, produce/ / Payment not on time | Lack of irrigation facilities | Rural distress/agricultural crisis | Debt due to agriculture/loan waiver | Stray cattle issue/cows eating the crop | Other agricultural problems | Any welfare scheme Government | Money from government in bank account | Housing/shelter | Religious identity/protection of my religion | Caste identity/protection of my caste | Regional/state/linguistic identity/protecting regional culture | Mob lynchings | Casteism | Communalism | Appeasement of Muslims | Terrorism | Nationalism/patriotism | Environmental degradation/protection of environment | Climate Change | Pollution/Air Quality | Wildlife protection | Women's safety/rape/sexual harassment/crimes against women | Discrimination against women | Foreign policy | Threat from China | Natural calamities - floods, drought | National Security |  (Development) within this Paradigm but no clear answer |  (Government performance) within this Paradigm but no clear answer | (Political) within this Paradigm but no clear answer | (Corruption) within this Paradigm but no clear answer | (Welfare) within this Paradigm but no clear answer | (Identity and emotive issues) within this Paradigm but no clear answer | (Environment) within this Paradigm but no clear answer | Any other issue not mentioned above | Can't choose","106a What are the most important problems facing this country that government should address(2nd response)?","W5",1,2,"W5:q106a | W5:q106b"
"Missing | Not applicable | A great deal of influence | Some influence | Not much influence | No influence at all | Do not understand the question | Can't choose | Decline to answer","181 How much influence does China have on our country?","W6",1,2,"W6:q181 | W6:q183"
"Missing | Not applicable | Always | Most of the time | Sometimes | Rarely | Not at all | Do not understand the question | Can't choose | Decline to answer","108 How often do government officials withhold important information from the public?","W6",1,2,"W6:q108 | W6:q109"
"Missing | Not applicable | Everyday | Several times a week | Once or twice a week | A few times a month | A few times a year | Practically never | Do not understand the question | Can't choose | Decline to answer","51. How often do you use the Internet or social media networks to find information about politics and government?","W4",1,2,"W4:q51 | W4:q52"
"Missing | Not applicable | Hardly anyone is involved | Not a lot of officials are corrupt | Most officials are corrupt | Almost everyone is corrupt | No one is involved | Do not understand the question | Can't choose | Decline to answer","115 How widespread do you think corruption and bribe-taking are in your local/municipal government?","W6",1,2,"W6:q115 | W6:q116"
"Missing | Not applicable | Management of the economy | Wages, incomes and salaries | Unemployment | Poverty/destitution | Rates and Taxes | Loans/credit | Farming/agriculture | Food shortage.famine | Drought | Land | Transportation | Communications | Infrastructure/roads | Education | Housing | Electricity | Water supply | Orphans/street children/homeless children | Services (other) | Health | AIDS | Sickness/disease | Crime and security | Corruption | Political violence | Political instablity/political divisions/ethnic tensions | Discrimination/inequalitry | Gender issues/women's rightrs | Democracy/political rights | War (international)/foreign affaris | Civil war | Environment/pollution/protection | Government efficiency | Social problems general (divorce, gambiling, drugs) | Governance (leaders, unity, etc.) | Immigrants/foreign workers | Government policy, general | Inflation/price hike | Other | No problems | Do not understand the question | Can't choose | Decline to answer","99a. What are the second most important problems facing this country? 2nd","W4",1,2,"W4:q99a | W4:q99b"
"Missing | Not applicable | Strongly Agree | Agree | Do not understand the question | Can’t choose | Decline to answer","156a Do you strongly agree or just agree with the chosen statement?","W6",1,2,"W6:q156a | W6:q157a"
"Missing | Not applicable | Very capable | Capable | Not capable | Not at all capable | Do not understand the question | Can't choose | Decline to answer","111 To what extent is the legislature capable of keeping government leaders in check?","W6",1,2,"W6:q111 | W6:q114"
"Missing | Not applicable | Very easy | Easy | Difficult | Very difficult | Do not understand the question | Can't choose | Decline to answer","39 How easy or difficult to obtain the roads in good condition","W6",1,2,"W6:q39 | W6:q40"
"Missing | Not applicable | Very fair | Fair | Unfair | Very unfair | Do not understand the question | Can't choose | Decline to answer","159 How fair do you think income distribution in Mongolia","W6",1,2,"W6:q159 | W6:q163"
"Missing | Very good | Good | So so (not good nor bad) | Bad | Very bad | Do not understand the question | Can't choose | Decline to answer","q1. How would you rate the overall economic condition of our country today?  Is it …","W3",1,2,"W3:q1 | W3:q4"
"Once | More than once | Never | Not applicable | Can't choose | Decline to answer","Contacted government (administrative) official","W2",1,2,"W2:q79 | W2:q85"
"Very bad | Bad | So so (not good nor bad) | Good | Very good | Can't choose | Decline to answer","How would you rate the overall economic condition of our country today?","W2",1,2,"W2:q1 | W2:q4"
